model,rounds,criterion,depth,weight,feature,subsample,bootstrap,learning_rate,best_iter_mean,best_iter_max,cv_loss,cv_std,train_loss,train_std,used_time,folds,Xshape,option,
RFC,100,entropy,30,30,0.5,1,TRUE,,,,0.467737799,0.001149064,,,2036.12483,5,"(114321, 108)",[],
RFC,100,entropy,30,20,0.5,1,TRUE,,,,0.467625267,0.001018512,,,2101.865232,5,"(114321, 108)",[],
RFC,100,entropy,30,10,0.5,1,TRUE,,,,0.467113372,0.001041404,,,2374.970586,5,"(114321, 108)",[],
RFC,100,entropy,30,5,0.5,1,TRUE,,,,0.46759096,0.001048641,,,3035.760262,5,"(114321, 108)",[],
RFC,100,entropy,30,2,0.5,1,TRUE,,,,0.47183541,0.003116469,,,3040.682714,5,"(114321, 108)",[],
RFC,100,entropy,40,30,0.5,1,TRUE,,,,0.467707931,0.001107668,,,1924.249775,5,"(114321, 108)",[],
RFC,100,entropy,40,20,0.5,1,TRUE,,,,0.467794367,0.001116342,,,3696.329561,5,"(114321, 108)",[],
RFC,100,entropy,40,10,0.5,1,TRUE,,,,0.467494686,0.001133989,,,3769.354042,5,"(114321, 108)",[],
RFC,100,entropy,40,5,0.5,1,TRUE,,,,0.468179663,0.001389591,,,4064.59455,5,"(114321, 108)",[],
RFR,50,mse,6,10,0.5,1,TRUE,,,,0.477749091,0.002424536,,,417.1071379,5,"(114321, 108)",[],
RFR,150,mse,10,20,0.5,1,TRUE,,,,0.470331688,0.002942923,,,2134.217522,5,"(114321, 108)",[],
RFR,150,mse,10,10,0.5,1,TRUE,,,,0.470369114,0.002927764,,,2280.959159,5,"(114321, 108)",[],
RFR,150,mse,10,5,0.5,1,TRUE,,,,0.470348742,0.00268949,,,2033.015373,5,"(114321, 108)",[],
RFR,150,mse,10,2,0.5,1,TRUE,,,,0.470328917,0.002614401,,,1759.81944,5,"(114321, 108)",[],
RFR,150,mse,20,20,0.5,1,TRUE,,,,0.468453248,0.002746081,,,2401.710014,5,"(114321, 108)",[],
RFR,150,mse,20,10,0.5,1,TRUE,,,,0.468609687,0.002872513,,,2247.212974,5,"(114321, 108)",[],
RFR,150,mse,20,5,0.5,1,TRUE,,,,0.46888474,0.002961928,,,2422.166627,5,"(114321, 108)",[],
RFR,150,mse,20,2,0.5,1,TRUE,,,,0.468939068,0.002804813,,,2560.700842,5,"(114321, 108)",[],
RFR,150,mse,30,20,0.5,1,TRUE,,,,0.468634515,0.002817468,,,2087.185089,5,"(114321, 108)",[],
RFR,150,mse,30,10,0.5,1,TRUE,,,,0.469151452,0.002763546,,,2313.204281,5,"(114321, 108)",[],
RFR,150,mse,30,5,0.5,1,TRUE,,,,0.470577593,0.001874048,,,2538.946315,5,"(114321, 108)",[],
RFR,150,mse,30,2,0.5,1,TRUE,,,,0.471671265,0.002736767,,,2798.516703,5,"(114321, 108)",[],
RFR,150,mse,40,20,0.5,1,TRUE,,,,0.468769104,0.002787034,,,2077.820652,5,"(114321, 108)",[],
RFR,150,mse,40,10,0.5,1,TRUE,,,,0.469166705,0.002765678,,,2312.41621,5,"(114321, 108)",[],
RFR,150,mse,40,5,0.5,1,TRUE,,,,0.470639627,0.002579147,,,2554.231497,5,"(114321, 108)",[],
RFR,150,mse,40,2,0.5,1,TRUE,,,,0.475580376,0.002496561,,,3930.371778,5,"(114321, 108)",[],
RFR,150,mse,50,20,0.5,1,TRUE,,,,0.468771712,0.002784858,,,2761.000489,5,"(114321, 108)",[],
RFR,150,mse,50,10,0.5,1,TRUE,,,,0.469416193,0.002445706,,,3652.905294,5,"(114321, 108)",[],
RFR,150,mse,50,5,0.5,1,TRUE,,,,0.471069913,0.002271457,,,3667.617006,5,"(114321, 108)",[],
RFR,150,mse,50,2,0.5,1,TRUE,,,,0.474562982,0.002046862,,,4053.236094,5,"(114321, 108)",[],
RFR,150,mse,60,20,0.5,1,TRUE,,,,0.468771999,0.00278461,,,3005.992756,5,"(114321, 108)",[],
RFR,150,mse,60,10,0.5,1,TRUE,,,,0.469422979,0.002437862,,,3311.284125,5,"(114321, 108)",[],
RFR,150,mse,60,5,0.5,1,TRUE,,,,0.471044271,0.002305983,,,4822.526813,5,"(114321, 108)",[],
RFR,150,mse,60,2,0.5,1,TRUE,,,,0.47452036,0.001517716,,,6785.273751,5,"(114321, 108)",[],
RFR,900,mse,20,20,0.5,1,TRUE,,,,0.46783494,0.002899398,,,28025.05814,5,"(114321, 108)",[],
ETC,100,gini,10,6,0.5,1,FALSE,,,,0.477099718,0.000756467,,,324.7545581,5,"(114321, 108)",[],
ETC,600,entropy,10,30,0.5,1,FALSE,,,,0.477918233,0.000721904,,,2398.52333,5,"(114321, 108)",[],
ETC,600,entropy,10,20,0.5,1,FALSE,,,,0.477460364,0.000728712,,,1569.695444,5,"(114321, 108)",[],
ETC,600,entropy,10,10,0.5,1,FALSE,,,,0.477173866,0.000730222,,,1964.565692,5,"(114321, 108)",[],
ETC,600,entropy,10,5,0.5,1,FALSE,,,,0.476948154,0.000870689,,,2698.236194,5,"(114321, 108)",[],
ETC,600,entropy,10,2,0.5,1,FALSE,,,,0.476683188,0.000870946,,,1581.325611,5,"(114321, 108)",[],
ETC,600,entropy,20,30,0.5,1,FALSE,,,,0.468697968,0.000881433,,,2371.946035,5,"(114321, 108)",[],
ETC,600,entropy,20,20,0.5,1,FALSE,,,,0.467183806,0.000955851,,,2545.043704,5,"(114321, 108)",[],
ETC,600,entropy,20,10,0.5,1,FALSE,,,,0.464970944,0.001075713,,,2777.789428,5,"(114321, 108)",[],
ETC,600,entropy,20,5,0.5,1,FALSE,,,,0.462850808,0.001141391,,,2983.961083,5,"(114321, 108)",[],
ETC,600,entropy,20,2,0.5,1,FALSE,,,,0.460953838,0.001406023,,,3130.472654,5,"(114321, 108)",[],
ETC,600,entropy,30,30,0.5,1,FALSE,,,,0.468568195,0.000861207,,,2432.972673,5,"(114321, 108)",[],
ETC,600,entropy,30,20,0.5,1,FALSE,,,,0.467057282,0.00102568,,,2623.187261,5,"(114321, 108)",[],
ETC,600,entropy,30,10,0.5,1,FALSE,,,,0.464504304,0.00110763,,,3449.000801,5,"(114321, 108)",[],
ETC,600,entropy,30,5,0.5,1,FALSE,,,,0.462134959,0.001270319,,,4106.109506,5,"(114321, 108)",[],
ETC,600,entropy,30,2,0.5,1,FALSE,,,,0.460268577,0.001623502,,,3841.029305,5,"(114321, 108)",[],
ETC,600,entropy,40,30,0.5,1,FALSE,,,,0.468572955,0.000863793,,,2612.950947,5,"(114321, 108)",[],
ETC,600,entropy,40,20,0.5,1,FALSE,,,,0.467032142,0.001028531,,,2775.786864,5,"(114321, 108)",[],
ETC,600,entropy,40,10,0.5,1,FALSE,,,,0.46461242,0.001195469,,,3560.271068,5,"(114321, 108)",[],
ETC,600,entropy,40,5,0.5,1,FALSE,,,,0.462035147,0.00128259,,,3421.836798,5,"(114321, 108)",[],
ETC,600,entropy,40,2,0.5,1,FALSE,,,,0.460400293,0.001399136,,,4162.667818,5,"(114321, 108)",[],
ETC,600,entropy,50,30,0.5,1,FALSE,,,,0.468572955,0.000863793,,,2769.794614,5,"(114321, 108)",[],
ETC,600,entropy,50,20,0.5,1,FALSE,,,,0.467032142,0.001028531,,,2736.224614,5,"(114321, 108)",[],
ETC,600,entropy,50,10,0.5,1,FALSE,,,,0.46459979,0.001191852,,,3367.454568,5,"(114321, 108)",[],
ETC,600,entropy,50,5,0.5,1,FALSE,,,,0.462050818,0.001323016,,,3468.337266,5,"(114321, 108)",[],
ETC,600,entropy,50,2,0.5,1,FALSE,,,,0.4604777,0.001198752,,,4206.705201,5,"(114321, 108)",[],
ETC,600,entropy,60,30,0.5,1,FALSE,,,,0.468572955,0.000863793,,,2809.693466,5,"(114321, 108)",[],
